year,state,legal1820,dtype,agegr,count,pop,age,legal,beertaxa,beerpercap,winepercap,spiritpercap,totpercap,mrate
1970,1,0,all,15-17 yrs,224,213574,15.978335,0,1.3737113,.60000002,.090000004,.69999999,1.38,104.88168
1971,1,0,all,15-17 yrs,241,220026,15.985843,0,1.3160493,.66000003,.090000004,.75999999,1.52,109.53251
1972,1,0,all,15-17 yrs,270,224877,15.985734,0,1.2751197,.74000001,.090000004,.77999997,1.61,120.06564
1973,1,0,all,15-17 yrs,258,227256,15.992462,0,1.2004504,.79000002,.1,.79000002,1.6900001,113.52836
1974,1,0,all,15-17 yrs,224,229025,16.000776,0,1.0811359,.82999998,.16,.81,1.8,97.805916
1975,1,.29399541,all,15-17 yrs,207,229739,15.997954,0,.99070632,.88,.16,.85000002,1.88,90.102249
1976,1,.66507012,all,15-17 yrs,231,230696,15.998028,0,.93673104,.88999999,.15000001,.86000001,1.89,100.13177
1977,1,.66846752,all,15-17 yrs,219,230086,16.001556,0,.87953794,.99000001,.13,.83999997,1.96,95.181801
1978,1,.66718459,all,15-17 yrs,234,229519,16.003128,0,.81748468,.98000002,.12,.88,1.97,101.95235
1979,1,.66809237,all,15-17 yrs,176,227140,16.002985,0,.73415977,.98000002,.12,.83999997,1.9400001,77.485252
1980,1,.67225862,all,15-17 yrs,196,222306,16.011299,0,.64684463,.95999998,.16,.74000001,1.86,88.166763
1981,1,.67920816,all,15-17 yrs,170,214472,16.029743,0,.58635861,1,.19,.73000002,1.92,79.264427
1982,1,.67590886,all,15-17 yrs,142,203949,16.035681,0,.55233163,1,.18000001,.72000003,1.89,69.625252
1983,1,.67963141,all,15-17 yrs,140,194608,16.023071,0,.53514057,1.01,.17,.70999998,1.89,71.939491
1984,1,.68952811,all,15-17 yrs,131,191659,16.002525,0,.51299328,1.02,.19,.69,1.9,68.350563
1985,1,.67774737,all,15-17 yrs,166,193865,15.985051,0,.49535316,1.0599999,.17,.67000002,1.9,85.626595
1986,1,.42814481,all,15-17 yrs,184,199857,15.9793,0,.48631388,1.09,.18000001,.63999999,1.9,92.065826
1987,1,.093953542,all,15-17 yrs,189,200549,16.008522,0,.46919015,1.1,.18000001,.61000001,1.89,94.24131
1988,1,0,all,15-17 yrs,170,195975,16.034531,0,.45054942,1.1,.18000001,.61000001,1.89,86.745758
1989,1,0,all,15-17 yrs,170,186770,16.025084,0,.42983872,1.1,.17,.60000002,1.87,91.021042
1990,1,0,all,15-17 yrs,177,180632,16.018379,0,.40780413,1.12,.18000001,.61000001,1.92,97.989281
1991,1,0,all,15-17 yrs,178,179323,16.022329,0,.39133626,1,.17,.58999997,1.76,99.262222
1992,1,0,all,15-17 yrs,169,181504,16.017372,0,.37990019,1.02,.19,.58999997,1.79,93.110893
1993,1,0,all,15-17 yrs,159,183019,16.008551,0,.36885813,1.14,.17,.56,1.86,86.876228
1994,1,0,all,15-17 yrs,198,186505,16.017988,0,.35964912,1.16,.17,.54000002,1.87,106.16338
1995,1,0,all,15-17 yrs,192,190670,16.000204,0,.34973755,1.14,.15000001,.52999997,1.8099999,100.69754
1996,1,0,all,15-17 yrs,162,192120,16.013309,0,.33970684,1.17,.15000001,.52999997,1.86,84.322296
1970,2,.2415109,all,15-17 yrs,31,16855,15.957876,0,.64432991,1.1799999,.37,2.0699999,3.6199999,183.92169
1971,2,.70008481,all,15-17 yrs,32,18728,15.985476,0,.61728394,1.33,.43000001,2.1500001,3.9100001,170.86716
1972,2,.7017737,all,15-17 yrs,40,20035,15.975193,0,.59808612,1.22,.41,1.87,3.5,199.6506
1973,2,.70670319,all,15-17 yrs,31,20805,15.974141,0,.56306303,1.26,.43000001,1.87,3.55,149.00264
1974,2,.70874947,all,15-17 yrs,31,21923,15.999544,0,.50709939,1.41,.47,1.98,3.8599999,141.40401
1975,2,.7029413,all,15-17 yrs,29,23951,15.998748,0,.46468401,1.49,.47,2.1700001,4.1300001,121.08054
1976,2,.70821017,all,15-17 yrs,25,25392,15.986334,0,.43936729,1.48,.49000001,2.0599999,4.0300002,98.456207
1977,2,.71833032,all,15-17 yrs,31,25017,15.988288,0,.41254127,1.1900001,.41999999,1.7,3.3099999,123.91574
1978,2,.72185147,all,15-17 yrs,43,24633,15.98705,0,.38343561,1.39,.44999999,1.6799999,3.52,174.56258
1979,2,.63992852,all,15-17 yrs,29,23819,15.994123,0,.34435263,1.5,.47,1.65,3.6199999,121.75154
1980,2,.69095361,all,15-17 yrs,31,22461,16.01527,0,.30339804,1.55,.5,1.7,3.76,138.01701
1981,2,.65934616,all,15-17 yrs,24,22148,16.03314,0,.27502748,1.71,.56999999,1.8200001,4.0999999,108.36193
1982,2,.67741686,all,15-17 yrs,35,22242,16.030123,0,.25906736,1.75,.56,1.74,4.0500002,157.35995
1983,2,.69806993,all,15-17 yrs,28,22971,16.015541,0,.35140562,1.76,.61000001,1.7,4.0599999,121.89282
1984,2,.53464711,all,15-17 yrs,24,23702,15.984474,0,.33686236,1.73,.57999998,1.5599999,3.8599999,101.25728
1985,2,.18246071,all,15-17 yrs,23,24921,15.954376,0,.32527882,1.6799999,.57999998,1.53,3.78,92.291641
1986,2,0,all,15-17 yrs,33,26115,15.949378,0,.31934306,1.6799999,.56,1.27,3.51,126.36416
1987,2,0,all,15-17 yrs,23,25717,15.97698,0,.30809858,1.64,.54000002,1.29,3.46,89.435005
1988,2,0,all,15-17 yrs,28,24426,16.003889,0,.29585797,1.6,.49000001,1.23,3.3199999,114.63195
1989,2,0,all,15-17 yrs,33,23049,15.999002,0,.28225806,1.5700001,.46000001,1.24,3.27,143.17323
1990,2,0,all,15-17 yrs,26,22980,15.977111,0,.26778883,1.62,.46000001,1.25,3.3299999,113.14186
1991,2,0,all,15-17 yrs,27,23818,15.983541,0,.25697502,1.54,.43000001,1.14,3.1099999,113.35964
1992,2,0,all,15-17 yrs,22,25069,15.987834,0,.24946542,1.53,.41,1.08,3.02,87.75779
1993,2,0,all,15-17 yrs,33,26057,15.988871,0,.24221453,1.3099999,.31999999,.92000002,2.55,126.64543
1994,2,0,all,15-17 yrs,24,27256,16.00066,0,.23616734,1.53,.40000001,1.1,3.03,88.054008
1995,2,0,all,15-17 yrs,16,28194,15.999185,0,.2296588,1.45,.38999999,1.02,2.8599999,56.749664
1996,2,0,all,15-17 yrs,37,29497,16.012136,0,.22307202,1.3099999,.38,.94,2.6300001,125.43649
1970,4,0,all,15-17 yrs,125,106770,15.977831,0,.20618556,1.37,.31999999,1.05,2.73,117.07408
1971,4,0,all,15-17 yrs,150,115199,15.985529,0,.19753087,1.38,.34999999,1.08,2.8199999,130.20946
1972,4,.27738747,all,15-17 yrs,128,123622,15.974584,0,.19138756,1.49,.34,1.0700001,2.9100001,103.54144
1973,4,.66499501,all,15-17 yrs,141,132101,15.979516,0,.18018018,1.5700001,.34,1.09,3,106.73651
