sheet,chain,co_owned,state,empft,emppt,wage_st,empft2,emppt2,wage_st2,fte,fte2,dfte,gap,dw,sample
46,1,0,0,30,15,,3.5,35,4.3000002,37.5,21,-16.5,0,,0
49,2,0,0,6.5,6.5,,0,15,4.4499998,9.75,7.5,-2.25,0,,0
506,2,1,0,3,7,,3,7,5,6.5,6.5,0,0,,0
56,4,1,0,20,20,5,0,36,5.25,30,18,-12,0,.25,1
61,4,1,0,6,26,5.5,28,3,4.75,19,29.5,10.5,0,-.75,1
62,4,1,0,0,31,5,,,,15.5,,,0,,0
445,1,0,0,50,35,5,15,18,4.75,67.5,24,-43.5,0,-.25,1
451,1,0,0,10,17,5,26,9,5,18.5,30.5,12,0,0,1
455,2,1,0,2,8,5.25,3,12,5,6,9,3,0,-.25,1
458,2,1,0,2,10,5,2,9,5,7,6.5,-.5,0,0,1
462,3,1,0,2.5,20,5,1,25,4.75,12.5,13.5,1,0,-.25,1
468,1,0,0,40,30,5,9,32,5,55,25,-30,0,0,1
469,1,0,0,8,27,5,7,39,4.5,21.5,26.5,5,0,-.5,1
470,1,0,0,10.5,30,5.5,18,10,4.75,25.5,23,-2.5,0,-.75,1
474,1,0,0,6,9,5,5,20,4.5,10.5,15,4.5,0,-.5,1
481,2,1,0,5,17.5,5.25,15,4,5,13.75,17,3.25,0,-.25,1
483,2,1,0,1,15,5,4,13,4.75,8.5,10.5,2,0,-.25,1
487,3,1,0,10,6,5,6,20,4.75,13,16,3,0,-.25,1
488,3,0,0,20,13,5,5,15,4.75,26.5,12.5,-14,0,-.25,1
489,3,0,0,5,23,5,2,19,4.25,16.5,11.5,-5,0,-.75,1
490,3,1,0,10,12.5,5,2,18,5,16.25,11,-5.25,0,0,1
493,3,1,0,27,12,5,0,30,4.9000001,33,15,-18,0,-.099999905,1
495,3,0,0,4,28,5,8,20,5,18,18,0,0,0,1
496,3,1,0,10,15,5,10,10,4.75,17.5,15,-2.5,0,-.25,1
499,4,1,0,0,28,5,0,31,5,14,15.5,1.5,0,0,1
509,3,1,0,3,16,5,5.5,10,4.25,11,10.5,-.5,0,-.75,1
515,3,1,0,7,16,5,5,19,4.75,15,14.5,-.5,0,-.25,1
37,1,0,0,21,9,4.25,6,25,4.25,25.5,18.5,-7,0,0,1
39,1,0,0,1,32,4.25,5,15,,17,12.5,-4.5,0,,0
40,1,0,0,10,20,4.25,7,25,4.25,20,19.5,-.5,0,0,1
41,1,0,0,0,27,4.25,0,42,4.25,13.5,21,7.5,0,0,1
42,1,0,0,17,4,4.5,0,22,4.25,19,11,-8,0,-.25,1
45,1,0,0,0,24,4.25,11,12,4.25,12,17,5,0,0,1
47,1,0,0,25,15,4.5,0,45,4.25,32.5,22.5,-10,0,-.25,0
48,1,0,0,6,20,4.25,7.5,25,4.3800001,16,20,4,0,.13000011,1
50,2,0,0,6,10,4.5,4,20,4.75,11,14,3,0,.25,1
51,2,0,0,0,15,4.25,6,15,4.25,7.5,13.5,6,0,0,1
57,4,1,0,30,10,4.6700001,7,18,4.5,35,16,-19,0,-.17000008,1
58,4,1,0,8,25,4.75,0,28,4.5,20.5,14,-6.5,0,-.25,1
59,4,0,0,0,15,4.25,0,16,4.25,7.5,8,.5,0,0,1
60,4,0,0,10,20,4.25,10,20,4.25,20,20,0,0,0,1
407,2,1,0,2,12,4.75,1,14,4.25,8,8,0,0,-.5,1
430,1,0,0,20,25,4.25,0,48,4.25,32.5,24,-8.5,0,0,1
432,1,0,0,20,55,4.5,25,10,5.0500002,47.5,30,-17.5,0,.55000019,1
433,1,0,0,10,30,4.25,0,42,,25,21,-4,0,,0
434,1,0,0,15,50,4.25,19,29,4.25,40,33.5,-6.5,0,0,1
435,1,0,0,1,37.5,4.25,0,32,4.25,19.75,16,-3.75,0,0,1
438,2,0,0,0,9,4.25,2,9,4.25,4.5,6.5,2,0,0,1
440,4,0,0,0,25,4.25,0,30,,12.5,15,2.5,0,,0
441,4,0,0,30,10,4.25,0,30,4.25,35,15,-20,0,0,1
443,4,0,0,4,19,4.25,5,20,4.3499999,13.5,15,1.5,0,.099999905,1
444,4,0,0,12,20,4.25,10,35,4.5,22,27.5,5.5,0,.25,1
446,1,0,0,,,4.5,7,24,5,,19,,0,.5,0
448,1,0,0,8,18,4.75,8,27,4.5,17,21.5,4.5,0,-.25,1
449,1,0,0,0,25,4.8699999,15,15,5,12.5,22.5,10,0,.13000011,1
450,1,0,0,2,21,4.75,27.5,8,4.75,12.5,31.5,19,0,0,1
454,2,1,0,1,9,4.5,0,18,5,5.5,9,3.5,0,.5,1
459,3,1,0,5,20,4.25,0,20,4.3499999,15,10,-5,0,.099999905,1
466,4,0,0,8,17.5,4.75,14,12,,16.75,20,3.25,0,,0
471,1,0,0,25,20,4.25,12,23,4.25,35,23.5,-11.5,0,0,1
472,1,0,0,37.5,2,4.25,8,25,4.9000001,38.5,20.5,-18,0,.6500001,1
473,1,0,0,5,27,4.75,26,15,4.5,18.5,33.5,15,0,-.25,1
475,1,0,0,25,8,4.5,10,16,4.5,29,18,-11,0,0,1
476,1,0,0,6,30,4.25,5,30,4.75,21,20,-1,0,.5,1
477,1,0,0,8,28,4.25,6,20,6.25,22,16,-6,0,2,1
478,1,0,0,32,25,4.5,8,30,4.3499999,44.5,23,-21.5,0,-.1500001,1
485,2,1,0,1,9,4.5,4,12,4.5,5.5,10,4.5,0,0,1
491,3,0,0,4,25,4.5,0,0,,16.5,0,-16.5,0,,0
492,3,1,0,2,16,4.5,4,15,4.5,10,11.5,1.5,0,0,1
497,4,1,0,12,15,4.5,,,,19.5,,,0,,0
498,4,1,0,20,10,4.75,21,5.5,5,25,23.75,-1.25,0,.25,1
501,1,0,0,14,15,4.25,30,15,4.75,21.5,37.5,16,0,.5,1
503,1,0,0,7.5,14,4.75,35,6.5,4.5,14.5,38.25,23.75,0,-.25,1
510,3,1,0,7,25,4.25,2.5,17.5,,19.5,11.25,-8.25,0,,0
511,3,1,0,4,16,4.75,3,13,4.75,12,9.5,-2.5,0,0,1
514,3,0,0,5,20,4.5,23,16,4.25,15,31,16,0,-.25,1
516,3,1,0,6,22.5,4.75,2,12,4.9099998,17.25,8,-9.25,0,.15999985,1
521,1,0,0,2.5,20,4.25,0,12,4.4000001,12.5,6,-6.5,0,.1500001,1
522,1,0,0,2,30,4.3499999,3,23,4.25,17,14.5,-2.5,0,-.099999905,1
113,1,0,1,0,22,,2,40,5.0500002,11,22,11,0,,0
123,1,0,1,0,20,,5,25,5.0500002,10,17.5,7.5,0,,0
135,3,0,1,10,20,,8,24,5.0500002,20,20,0,0,,0
138,3,1,1,4.5,25.5,,2,33,5.0500002,17.25,18.5,1.25,0,,0
153,1,0,1,0,25,,26.5,10,5.0500002,12.5,31.5,19,0,,0
181,2,0,1,0,13,,1,15,5.0500002,6.5,8.5,2,0,,0
191,4,0,1,30,20,,0,25,5.0500002,40,12.5,-27.5,0,,0
231,1,0,1,,10,,16,6,5.0500002,,19,,0,,0
236,1,0,1,0,34,,23,22,5.0500002,17,34,17,0,,0
254,4,0,1,20,10,,28,10,5.25,25,33,8,0,,0
255,4,0,1,0,14,,8,12,,7,14,7,0,,0
294,1,0,1,0,35,,0,35,5.0500002,17.5,17.5,0,0,,0
306,3,1,1,15,15,,6,20,5.0500002,22.5,16,-6.5,0,,0
311,4,0,1,0,30,,35,30,5.0500002,15,50,35,0,,0
315,1,0,1,5,19,,4.5,20,5.0500002,14.5,14.5,0,0,,0
335,1,1,1,9,10,,7,13,5.0500002,14,13.5,-.5,0,,0
372,1,1,1,0,45,,30,20,5.0500002,22.5,40,17.5,0,,0
6,3,1,1,2,2,5,5,2,5.0500002,3,6,3,.0099999998,.050000191,1
14,2,0,1,10,8,5.1199999,4,17,5.0500002,14,12.5,-1.5,0,-.069999695,1
26,1,0,1,30,15,5.5599999,10,20,5.0500002,37.5,20,-17.5,0,-.50999975,1
27,2,1,1,4,10,5,0,7,5.0500002,9,3.5,-5.5,.0099999998,.050000191,1
30,2,0,1,6,4,5,4,3,5.0500002,8,5.5,-2.5,.0099999998,.050000191,1
31,2,0,1,4,16,5.25,6,15,5.0500002,12,13.5,1.5,0,-.19999981,1
33,3,0,1,12,20,5,6,11,5.0500002,22,11.5,-10.5,.0099999998,.050000191,1
36,4,0,1,8,12,5.5,10,35,5.0500002,14,27.5,13.5,0,-.44999981,1
77,3,0,1,6,50,5,4,60,5.0500002,31,34,3,.0099999998,.050000191,1
78,3,1,1,13,10,5,10,12,5.0500002,18,16,-2,.0099999998,.050000191,1
81,4,0,1,25,13,5,0,45,5.0500002,31.5,22.5,-9,.0099999998,.050000191,1
82,4,0,1,8,14.5,5,25,8,5.0500002,15.25,29,13.75,.0099999998,.050000191,1
83,4,0,1,12.5,20,5,,,5.0500002,22.5,,,.0099999998,.050000191,0
85,1,0,1,7,20,5.5,0,35,5.0500002,17,17.5,.5,0,-.44999981,1
89,1,1,1,10,6,5,6,25,5.5,13,18.5,5.5,.0099999998,.5,1
94,2,0,1,0,25,5,2,20,5.0500002,12.5,12,-.5,.0099999998,.050000191,1
103,4,0,1,12.5,10,5,,,5.0500002,17.5,,,.0099999998,.050000191,0
112,4,0,1,4,26,5,5,25,5.0500002,17,17.5,.5,.0099999998,.050000191,1
128,2,1,1,6.5,7.5,5,3,16,5.0500002,10.25,11,.75,.0099999998,.050000191,1
129,3,0,1,20,20,5.25,7,18,5.0500002,30,16,-14,0,-.19999981,1
131,3,0,1,15,25,5.5,8,22,5.0500002,27.5,19,-8.5,0,-.44999981,1
139,4,0,1,,,5.5,11,25,5.5,,23.5,,0,0,0
143,4,0,1,0,30,5.3699999,,,,15,,,0,,0
144,4,0,1,10,30,5.0500002,4,37,5.0500002,25,22.5,-2.5,0,0,1
145,1,0,1,5,17,5,10,8,5.2800002,13.5,14,.5,.0099999998,.28000021,1
147,1,0,1,8.5,6.5,5.1199999,6,0,5.25,11.75,6,-5.75,0,.13000011,1
148,1,0,1,4.5,30,5.25,7.5,30,5.0500002,19.5,22.5,3,0,-.19999981,1
151,1,0,1,1,12,5,0,0,,7,0,-7,.0099999998,,0
152,1,0,1,35,15,5.1199999,12,13.5,5.0500002,42.5,18.75,-23.75,0,-.069999695,1
157,2,0,1,10,5,5,12,8,5.5,12.5,16,3.5,.0099999998,.5,1
161,3,1,1,8,25,5,26,12,5.0500002,20.5,32,11.5,.0099999998,.050000191,1
163,3,1,1,12,18,5,1.5,33,5.0500002,21,18,-3,.0099999998,.050000191,1
164,3,1,1,4,30,5,5,15,5.0500002,19,12.5,-6.5,.0099999998,.050000191,1
165,4,0,1,20,10,5,10,17,5.0500002,25,18.5,-6.5,.0099999998,.050000191,1
169,1,1,1,12,33,5,20,6,5.0500002,28.5,23,-5.5,.0099999998,.050000191,1
170,1,1,1,10,20,5,20,20,5.0500002,20,30,10,.0099999998,.050000191,1
187,3,0,1,4,20,5.6199999,5,17.5,5.0500002,14,13.75,-.25,0,-.56999969,1
190,3,1,1,5,42,5,7,30,5.0500002,26,22,-4,.0099999998,.050000191,1
196,4,1,1,8,19,5,0,30,5.0500002,17.5,15,-2.5,.0099999998,.050000191,1
197,1,0,1,23,10,5,5,21,5.0500002,28,15.5,-12.5,.0099999998,.050000191,1
